content,score,thumbsUpCount,comentario_limpio,comentario_limpio_corregido,comentario_lemmatizado,tokens
Una reverenda macana no sirve para hacer nada ni para recargar crédito,1,0,reverenda macana sirve hacer recargar crédito,reverenda macana sirve hacer recargar credito,reverenda macán servir hacer recargar credito,"['reverenda', 'macán', 'servir', 'hacer', 'recargar', 'credito']"
muy fácil,5,0,fácil,facil,facil,['facil']
"En la sección de movimentos, los ingresos del día no se suman. se quedan en 0.00 bs. requiere corregir la app",3,1,sección movimentos ingresos día suman quedan bs requiere corregir app,seccion movimentos ingresos dia suman quedan bs requiere corregir app,seccion movimento ingreso diar sumar quedar requerir corregir app,"['seccion', 'movimento', 'ingreso', 'diar', 'sumar', 'quedar', 'requerir', 'corregir', 'app']"
por qué me aparece usuario bloqueado??,1,0,aparece usuario bloqueado,aparece usuario bloqueado,aparecer usuario bloqueado,"['aparecer', 'usuario', 'bloqueado']"
Es mejor,5,0,mejor,mejor,mejor,['mejor']
bvytttt v b. b. b. yt t. rvvv. b b. tbtbb. b b y.bb. yb. vv y. i bb bb. vbby. bb v bbbbb byyykbbvvbbbbvbbv tbbbtbby6. rvrvr. f efefe e. vvvvvv. vvvvvf. vgvv. vvv vvv. vvvvvv de c e vegvf. vvcc e refcer efeffff e f ff ff. fffff f f fff f. fef f ef ffe e eef ee. eee e eefee ee eefge. t tv de la huhuhhhvv. n vv. bvbvbbb. rr b,4,0,bvytttt v b b b yt t rvvv b b tbtbb b b ybb yb vv i bb bb vbby bb v bbbbb byyykbbvvbbbbvbbv tbbbtbby rvrvr f efefe vvvvvv vvvvvf vgvv vvv vvv vvvvvv c vegvf vvcc refcer efeffff f ff ff fffff f f fff f fef f ef ffe eef ee eee eefee ee eefge t tv huhuhhhvv n vv bvbvbbb rr b,bvytttt v b b b yt t rvvv b b tbtbb b b ybb yb vv i bb bb vbby bb v bbbbb byyykbbvvbbbbvbbv tbbbtbby rvrvr f efefe vvvvvv vvvvvf vgvv vvv vvv vvvvvv c vegvf vvcc refcer efeffff f ff ff fffff f f fff f fef f ef ffe eef ee eee eefee ee eefge t tv huhuhhhvv n vv bvbvbbb rr b,bvytttt rvvv tbtbb ybb vbby bbbbb byyykbbvvbbbbvbbv tbbbtbby rvrvr efefe vvvvvv vvvvvf vgvv vvv vvv vvvvvv vegvf vvcc refcer efeffff fffff fff fef ffe eef eee eefee eefge huhuhhhvv bvbvbbb,"['bvytttt', 'rvvv', 'tbtbb', 'ybb', 'vbby', 'bbbbb', 'byyykbbvvbbbbvbbv', 'tbbbtbby', 'rvrvr', 'efefe', 'vvvvvv', 'vvvvvf', 'vgvv', 'vvv', 'vvv', 'vvvvvv', 'vegvf', 'vvcc', 'refcer', 'efeffff', 'fffff', 'fff', 'fef', 'ffe', 'eef', 'eee', 'eefee', 'eefge', 'huhuhhhvv', 'bvbvbbb']"
buena,2,0,buena,buena,buen,['buen']
"Malisima! Me pasó que tenía 1.500bs allí, y cuando entro para hacer una transferencia me salía cero, CEROO!!! Me asusté horrible y estuvo así por varios días, en cero, y después de varios días intentando por fin salieron los dígitos de mi dinero, en seguida lo envié a otra cuenta y eliminé la App. podrían arreglar eso, porque en serio no sé qué pasó y yo me asusté, no creo que la App sea tan segura.",1,11,malisima pasó bs allí entro hacer transferencia salía cero ceroo asusté horrible así varios días cero después varios días intentando fin salieron dígitos dinero seguida envié cuenta eliminé app podrían arreglar serio sé pasó asusté creo app tan segura,malisima paso bs alli entro hacer transferencia salia cero ceroo asuste horrible asi varios dias cero despues varios dias intentando fin salieron digitos dinero seguida envie cuenta elimine app podrian arreglar serio se paso asuste creo app tan segura,malisimo paso alli entro hacer transferencia salio cero ceroo asuste horrible asi varios dia cero despues varios dia intentar fin salir digito dinero seguidir envie contar elimine app podriar arreglar serio paso asuste creer app tanto seguro,"['malisimo', 'paso', 'alli', 'entro', 'hacer', 'transferencia', 'salio', 'cero', 'ceroo', 'asuste', 'horrible', 'asi', 'varios', 'dia', 'cero', 'despues', 'varios', 'dia', 'intentar', 'fin', 'salir', 'digito', 'dinero', 'seguidir', 'envie', 'contar', 'elimine', 'app', 'podriar', 'arreglar', 'serio', 'paso', 'asuste', 'creer', 'app', 'tanto', 'seguro']"
"cuando cargas crédito o compras megas te roba, no llega el crédito y cuando llamas a soporte te dice que el pago se efectuó y que Tigo es el problema. pero es la única app que hace esto las demás funcionan normal",1,0,cargas crédito compras megas roba llega crédito llamas soporte dice pago efectuó tigo problema única app hace demás funcionan normal,cargas credito compras megas roba llega credito llamas soporte dice pago efectuo tigo problema unica app hace demas funcionan normal,carga credito compra mega robar llegar credito llama soporte decir pago efectuo tigo problema unico app hacer demas funcionar normal,"['carga', 'credito', 'compra', 'mega', 'robar', 'llegar', 'credito', 'llama', 'soporte', 'decir', 'pago', 'efectuo', 'tigo', 'problema', 'unico', 'app', 'hacer', 'demas', 'funcionar', 'normal']"
"la app buena, aunque en ciertos periodos tiene Bugs. La linea de atención al cliente malísima. en ninguna de las opciones del charbot te permite reportar un problema con la aplicación y tampoco te dan la opción de ser atendido desde esa instancia por un ser humano.",1,20,app buena aunque ciertos periodos bugs linea atención cliente malísima ninguna opciones charbot permite reportar problema aplicación tampoco dan opción ser atendido instancia ser humano,app buena aunque ciertos periodos bugs linea atencion cliente malisima ninguna opciones charbot permite reportar problema aplicacion tampoco dan opcion ser atendido instancia ser humano,app buen aunque cierto periodo bugs linea atencion cliente malisima ninguno opción charbot permitir reportar problema aplicacion tampoco dar opcion ser atender instancia ser humano,"['app', 'buen', 'aunque', 'cierto', 'periodo', 'bugs', 'linea', 'atencion', 'cliente', 'malisima', 'ninguno', 'opción', 'charbot', 'permitir', 'reportar', 'problema', 'aplicacion', 'tampoco', 'dar', 'opcion', 'ser', 'atender', 'instancia', 'ser', 'humano']"
"Muy mamaaaaaa acabo de pasarme por QR y no aparece en la app, si llego la notificación de que le llegue a la app, pero no veo mi saldo, y no estaaaaa, no está mi dinero ahiiiiii",1,0,mamaaaaaa acabo pasarme qr aparece app si llego notificación llegue app veo saldo estaaaaa dinero ahiiiiii,mamaaaaaa acabo pasarme qr aparece app si llego notificacion llegue app veo saldo estaaaaa dinero ahiiiiii,mamaaaaao acabar pasarme aparecer app llego notificacion llegar app ver saldo estaaaaa dinero ahiiiiii,"['mamaaaaao', 'acabar', 'pasarme', 'aparecer', 'app', 'llego', 'notificacion', 'llegar', 'app', 'ver', 'saldo', 'estaaaaa', 'dinero', 'ahiiiiii']"
pongan modo oscuro o modo noche la app es muy blanco.,3,0,pongan modo oscuro modo noche app blanco,pongan modo oscuro modo noche app blanco,poner modo oscuro modo noche app blanco,"['poner', 'modo', 'oscuro', 'modo', 'noche', 'app', 'blanco']"
Exelente por ahóra 👍🏼,5,0,exelente ahóra 👍🏼,excelente ahora 👍🏼,excelente ahora,"['excelente', 'ahora']"
Muy facil,5,0,facil,facil,facil,['facil']
"El sistema es lento, cuando verificaba el pago no me salio hasta 1 hora después necesito verificar en el momento para confirmar que no me estafen al cobrar, he vuelto a usarla y llevo 2 horas intentando realizar un traspaso, si pudiera no tendría ninguna estrella",1,10,sistema lento verificaba pago salio hora después necesito verificar momento confirmar estafen cobrar vuelto usarla llevo horas intentando realizar traspaso si pudiera ninguna estrella,sistema lento verificaba pago salio hora despues necesito verificar momento confirmar estafen cobrar vuelto usarla llevo horas intentando realizar traspaso si pudiera ninguna estrella,sistema lento verificar pago salio hora despues necesitar verificar momento confirmar estafen cobrar vuelto usar él llevar hora intentar realizar traspaso poder ninguno estrella,"['sistema', 'lento', 'verificar', 'pago', 'salio', 'hora', 'despues', 'necesitar', 'verificar', 'momento', 'confirmar', 'estafen', 'cobrar', 'vuelto', 'usar', 'él', 'llevar', 'hora', 'intentar', 'realizar', 'traspaso', 'poder', 'ninguno', 'estrella']"
Muy buena,5,0,buena,buena,buen,['buen']
"siempre falla , cuando lo necesito urgente se traba , no quiere hacer la transacción",1,0,siempre falla necesito urgente traba quiere hacer transacción,siempre falla necesito urgente traba quiere hacer transaccion,siempre fallar necesitar urgente trar querer hacer transaccion,"['siempre', 'fallar', 'necesitar', 'urgente', 'trar', 'querer', 'hacer', 'transaccion']"
tarda mucho en poder realizar pagos a través de QR,1,0,tarda poder realizar pagos través qr,tarda poder realizar pagos traves qr,tardar poder realizar pago trav,"['tardar', 'poder', 'realizar', 'pago', 'trav']"
99 that Chiki si 99 that 99 that you esw,1,0,that chiki si that that you esw,that chiki si that that you esw,that chiki that that you esw,"['that', 'chiki', 'that', 'that', 'you', 'esw']"
es una mala app es muy lenta y aparte tarda en leer los QR no la recomiendo tuve mala experiencia con esta app,1,0,mala app lenta aparte tarda leer qr recomiendo mala experiencia app,mala app lenta aparte tarda leer qr recomiendo mala experiencia app,malo app lento aparte tardar leer recomeir mala experiencia app,"['malo', 'app', 'lento', 'aparte', 'tardar', 'leer', 'recomeir', 'mala', 'experiencia', 'app']"
según dice la aplicación no quiere acceder debido a que no tengo datos moviles internet cosa que si tengo pero la aplicación no la reconoce. haciendo muy difícil acceder a la aplicación amenos que tenga Wi-fi sin más que decir la aplicación inútil para el uso día a día,1,3,según dice aplicación quiere acceder debido datos moviles internet cosa si aplicación reconoce haciendo difícil acceder aplicación amenos wifi decir aplicación inútil uso día día,segun dice aplicacion quiere acceder debido datos moviles internet cosa si aplicacion reconoce haciendo dificil acceder aplicacion amenos wifi decir aplicacion inutil uso dia dia,segun decir aplicacion querer acceder debido dato movil internet cosa aplicacion reconocer hacer dificil acceder aplicacion amenos wifi decir aplicacion inutil uso diar dia,"['segun', 'decir', 'aplicacion', 'querer', 'acceder', 'debido', 'dato', 'movil', 'internet', 'cosa', 'aplicacion', 'reconocer', 'hacer', 'dificil', 'acceder', 'aplicacion', 'amenos', 'wifi', 'decir', 'aplicacion', 'inutil', 'uso', 'diar', 'dia']"
sigue funcionando mal no se puede crear cuenta sale error,1,0,sigue funcionando mal puede crear cuenta sale error,sigue funcionando mal puede crear cuenta sale error,seguir funcionar mal poder crear cuenta salir error,"['seguir', 'funcionar', 'mal', 'poder', 'crear', 'cuenta', 'salir', 'error']"
no puedo instalar Altoke en mi celular,5,0,puedo instalar altoke celular,puedo instalar altoke celular,poder instalar altoke celular,"['poder', 'instalar', 'altoke', 'celular']"
Es muy buena y fácil de usar,5,0,buena fácil usar,buena facil usar,buen facil usar,"['buen', 'facil', 'usar']"
pésimo el altoke tuve que pagar dos veces y solo me llega una recarga y lo otro me lo roba q feo eso enserio se pasan espero que lo solucionen eso xfavor es lo único que pedimos q solucionen el altoke y nos den una mejor aplicación aparte q es lento la aplicación no se ni pagar xq se lentea muchooo solucionen la aplicación del altoke xfavor xq nosotros ocupamos está aplicación xq nos recomendaron xq según era mejor altoke xfavor exigimos q lo mejoren el altoke yayayayayayayayayaya xfavor señore,1,3,pésimo altoke pagar dos veces solo llega recarga roba q feo enserio pasan espero solucionen xfavor único pedimos q solucionen altoke den mejor aplicación aparte q lento aplicación pagar xq lentea muchooo solucionen aplicación altoke xfavor xq ocupamos aplicación xq recomendaron xq según mejor altoke xfavor exigimos q mejoren altoke yayayayayayayayayaya xfavor señore,pesimo altoke pagar dos veces solo llega recarga roba q feo enserio pasan espero solucionen xfavor unico pedimos q solucionen altoke den mejor aplicacion aparte q lento aplicacion pagar xq lentea muchooo solucionen aplicacion altoke xfavor xq ocupamos aplicacion xq recomendaron xq segun mejor altoke xfavor exigimos q mejoren altoke yayayayayayayayayaya xfavor senore,pesimo altoke pagar dos vez solo llegar recargo roba feo enserio pasar espero solucionar xfavor unico pedimos solucionar altoke dar mejor aplicacion aparte lento aplicacion pagar lentear muchooo solucionar aplicacion altoke xfavor ocupamos aplicacion recomendar segun mejor altoke xfavor exigimos mejorar altoke yayayayayayayayayaya xfavor senore,"['pesimo', 'altoke', 'pagar', 'dos', 'vez', 'solo', 'llegar', 'recargo', 'roba', 'feo', 'enserio', 'pasar', 'espero', 'solucionar', 'xfavor', 'unico', 'pedimos', 'solucionar', 'altoke', 'dar', 'mejor', 'aplicacion', 'aparte', 'lento', 'aplicacion', 'pagar', 'lentear', 'muchooo', 'solucionar', 'aplicacion', 'altoke', 'xfavor', 'ocupamos', 'aplicacion', 'recomendar', 'segun', 'mejor', 'altoke', 'xfavor', 'exigimos', 'mejorar', 'altoke', 'yayayayayayayayayaya', 'xfavor', 'senore']"
"no me gusta cuando no quiere transferir en varias ocasiones a estas horas de la noche, cualquier cosa puede pasar y para q no se pueda transferir, ... tienen q mejorar en esos temas ...",2,3,gusta quiere transferir varias ocasiones horas noche cualquier cosa puede pasar q pueda transferir q mejorar temas,gusta quiere transferir varias ocasiones horas noche cualquier cosa puede pasar q pueda transferir q mejorar temas,gusta querer transferir varios ocasión hora noche cualquiera cosa poder pasar poder transferir mejorar tema,"['gusta', 'querer', 'transferir', 'varios', 'ocasión', 'hora', 'noche', 'cualquiera', 'cosa', 'poder', 'pasar', 'poder', 'transferir', 'mejorar', 'tema']"
"horrible, ahora mismo llevo 1 hora intentando entrar y a cada rato sale que no se puede entrar por un error y que intente de nuevo osea tengo q intentar entrar desde un día antes para al día siguiente recién entre a la aplicación por culpa de esta aplicación inservible tengo 4 mil bs retenidos sin poder sacarlos",1,13,horrible ahora mismo llevo hora intentando entrar cada rato sale puede entrar error intente nuevo osea q intentar entrar día día siguiente recién aplicación culpa aplicación inservible mil bs retenidos poder sacarlos,horrible ahora mismo llevo hora intentando entrar cada rato sale puede entrar error intente nuevo osea q intentar entrar dia dia siguiente recien aplicacion culpa aplicacion inservible mil bs retenidos poder sacarlos,horrible ahora mismo llevar hora intentar entrar cada rato salir poder entrar error intente nuevo osea intentar entrar dia dia siguiente recien aplicacion culpa aplicacion inservible mil retenido poder sacar él,"['horrible', 'ahora', 'mismo', 'llevar', 'hora', 'intentar', 'entrar', 'cada', 'rato', 'salir', 'poder', 'entrar', 'error', 'intente', 'nuevo', 'osea', 'intentar', 'entrar', 'dia', 'dia', 'siguiente', 'recien', 'aplicacion', 'culpa', 'aplicacion', 'inservible', 'mil', 'retenido', 'poder', 'sacar', 'él']"
está muy mal la aplicación 😥,1,0,mal aplicación 😥,mal aplicacion 😥,mal aplicacion,"['mal', 'aplicacion']"
"no informa inicios de sesión de otros dispositivos, la seguridad es pesima",1,0,informa inicios sesión dispositivos seguridad pesima,informa inicios sesion dispositivos seguridad pesima,informar inicio sesion dispositivo seguridad pesimo,"['informar', 'inicio', 'sesion', 'dispositivo', 'seguridad', 'pesimo']"
Muchos problemas tiene 👎,2,0,problemas 👎,problemas 👎,problema,['problema']
la verdad no merece ni una estrella yo puse una solo para dar mi opinión. pésima app yo la iba usando apenas una semana y se bloqueó con mi dinero dentro 😡😡😡,1,3,verdad merece estrella puse solo dar opinión pésima app iba usando apenas semana bloqueó dinero dentro 😡😡😡,verdad merece estrella puse solo dar opinion pesima app iba usando apenas semana bloqueo dinero dentro 😡😡😡,verdad merecer estrella puse solo dar opinion pesimo app ir usar apenas semana bloqueo dinero dentro,"['verdad', 'merecer', 'estrella', 'puse', 'solo', 'dar', 'opinion', 'pesimo', 'app', 'ir', 'usar', 'apenas', 'semana', 'bloqueo', 'dinero', 'dentro']"
re lenta,1,0,re lenta,re lenta,lento,['lento']
no te especifican que a partir de la 11 de la noche la app se detiene no hace pagos y tuve problemas con un cliente llame al banco y recién me lo mencionan mi dinero descontado fue un perjuicio total de tiempo,1,27,especifican partir noche app detiene hace pagos problemas cliente llame banco recién mencionan dinero descontado perjuicio total tiempo,especifican partir noche app detiene hace pagos problemas cliente llame banco recien mencionan dinero descontado perjuicio total tiempo,especificar partir noche app detener hacer pago problema cliente llame banco recien mencionar dinero descontado perjuicio total tiempo,"['especificar', 'partir', 'noche', 'app', 'detener', 'hacer', 'pago', 'problema', 'cliente', 'llame', 'banco', 'recien', 'mencionar', 'dinero', 'descontado', 'perjuicio', 'total', 'tiempo']"
es buena supongo ojala me vaya bien,5,0,buena supongo ojala vaya bien,buena supongo ojala vaya bien,buen suponer ojala vaya bien,"['buen', 'suponer', 'ojala', 'vaya', 'bien']"
malísima experiencia con respecto a los pagos podría decirse que es la peor aplicación que existe,1,0,malísima experiencia respecto pagos podría decirse peor aplicación existe,malisima experiencia respecto pagos podria decirse peor aplicacion existe,malisimo experiencia respecto pago podrio decir él peor aplicacion existir,"['malisimo', 'experiencia', 'respecto', 'pago', 'podrio', 'decir', 'él', 'peor', 'aplicacion', 'existir']"
Lento,1,0,lento,lento,lento,['lento']
"pésima app de altoke no tiene nada, tuve que pagar 2 veces por qué tarda mucho al momento de hacer un pago por QR ojalá solucionen, creo que no soy el único que se queja,por el momento no recomiendo a nadie.",1,44,pésima app altoke pagar veces tarda momento hacer pago qr ojalá solucionen creo único quejapor momento recomiendo nadie,pesima app altoke pagar veces tarda momento hacer pago qr ojala solucionen creo unico quejapor momento recomiendo nadie,pesimo app altoke pagar vez tardar momento hacer pago ojala solucionar creo unico quejapor momento recomeir nadie,"['pesimo', 'app', 'altoke', 'pagar', 'vez', 'tardar', 'momento', 'hacer', 'pago', 'ojala', 'solucionar', 'creo', 'unico', 'quejapor', 'momento', 'recomeir', 'nadie']"
me sale error de red no deja ingresar,1,0,sale error red deja ingresar,sale error red deja ingresar,salir error red dejar ingresar,"['salir', 'error', 'red', 'dejar', 'ingresar']"
no reconoce el rostro con esa cosa de reconocimiento facial y no puedo retirar no la recomiendo,1,0,reconoce rostro cosa reconocimiento facial puedo retirar recomiendo,reconoce rostro cosa reconocimiento facial puedo retirar recomiendo,reconocer rostro cosa reconocimiento facial poder retirar recomeir,"['reconocer', 'rostro', 'cosa', 'reconocimiento', 'facial', 'poder', 'retirar', 'recomeir']"
la aplicación es muy mala no procesa los pagos es muy lenta para pagar tienen que arreglar eso y cuando quiero recargar crédito no llegan y ya me han robado 5bs de crédito y no me devolvieron nunca.,1,8,aplicación mala procesa pagos lenta pagar arreglar quiero recargar crédito llegan robado bs crédito devolvieron nunca,aplicacion mala procesa pagos lenta pagar arreglar quiero recargar credito llegan robado bs credito devolvieron nunca,aplicacion malo procés pago lento pagar arreglar querer recargar credito llegar robado credito devolver nunca,"['aplicacion', 'malo', 'procés', 'pago', 'lento', 'pagar', 'arreglar', 'querer', 'recargar', 'credito', 'llegar', 'robado', 'credito', 'devolver', 'nunca']"
La Doble Carga de Entel funciona perfectamente con esta App...,5,1,doble carga entel funciona perfectamente app,doble carga entel funciona perfectamente app,doble carga entel funcionar perfectamente app,"['doble', 'carga', 'entel', 'funcionar', 'perfectamente', 'app']"
"Tengan cuidado. porque cuando cambie de celular no supieron darme solución con la aplicación y ya no podía retirar mi dinero, ni transferir montos a otros por QR. El personal de atención tanto de llamada como los de Banco Sol . No me dieron soluciones",1,1,cuidado cambie celular supieron darme solución aplicación podía retirar dinero transferir montos qr personal atención llamada banco sol dieron soluciones,cuidado cambie celular supieron darme solucion aplicacion podia retirar dinero transferir montos qr personal atencion llamada banco sol dieron soluciones,cuidado cambiar celular saber dar yo solucion aplicacion podiar retirar dinero transferir monto personal atencion llamado banco sol dar solución,"['cuidado', 'cambiar', 'celular', 'saber', 'dar', 'yo', 'solucion', 'aplicacion', 'podiar', 'retirar', 'dinero', 'transferir', 'monto', 'personal', 'atencion', 'llamado', 'banco', 'sol', 'dar', 'solución']"
buenas aplicación pero tiene algunas fallas,4,0,buenas aplicación fallas,buenas aplicacion fallas,buena aplicacion falla,"['buena', 'aplicacion', 'falla']"
una estrella es mucho para esta aplicación tan bsur@,1,0,estrella aplicación tan bsur,estrella aplicacion tan bsur,estrella aplicacion tanto bsur,"['estrella', 'aplicacion', 'tanto', 'bsur']"
muy lento y muchas veces se traba al momento de querer hacer una transacción,1,1,lento muchas veces traba momento querer hacer transacción,lento muchas veces traba momento querer hacer transaccion,lento mucho vez trar momento querer hacer transaccion,"['lento', 'mucho', 'vez', 'trar', 'momento', 'querer', 'hacer', 'transaccion']"
Excelente 👌,5,0,excelente 👌,excelente 👌,excelente,['excelente']
muy buena y facil de usar,5,0,buena facil usar,buena facil usar,buen facil usar,"['buen', 'facil', 'usar']"
"Hello Altoke, y si añades la opción como Yape? mediante Qr hacer recarga ya sea para tiktok porque en mi caso mi tarjeta bancaria no funciona para compras en líneas",3,1,hello altoke si añades opción yape mediante qr hacer recarga tiktok caso tarjeta bancaria funciona compras líneas,hello altoke si anades opcion yape mediante qr hacer recarga tiktok caso tarjeta bancaria funciona compras lineas,hello altoke anad opcion yape mediante hacer recarga tiktok caso tarjeta bancario funcionar compra line,"['hello', 'altoke', 'anad', 'opcion', 'yape', 'mediante', 'hacer', 'recarga', 'tiktok', 'caso', 'tarjeta', 'bancario', 'funcionar', 'compra', 'line']"
muy mala no me permite retirar nada de dinero y tampoco aser transacion,1,0,mala permite retirar dinero tampoco aser transacion,mala permite retirar dinero tampoco hacer transacion,malo permitir retirar dinero tampoco hacer transacion,"['malo', 'permitir', 'retirar', 'dinero', 'tampoco', 'hacer', 'transacion']"
JUan villogomez Ramos,5,0,juan villogomez ramos,juan villogomez ramos,juan villogomez ramos,"['juan', 'villogomez', 'ramos']"
"no se la verdad que pasa con esta App pero yo hice una transferencia de otra cuenta bancaria a mi altoke pero resulta que no llegó el dinero y lo tome como perdido incluso me llegó una notificación de que el dinero me llegó claro pero al ver dentro de la app no hay nada, la verda que otra cosa más me molesta es que al pagar por QR me pide que active ubicacion no entiendo porque es necesario activar y me molestan hacer la transferencia muy Mala XP",1,0,verdad pasa app hice transferencia cuenta bancaria altoke resulta llegó dinero tome perdido incluso llegó notificación dinero llegó claro ver dentro app verda cosa molesta pagar qr pide active ubicacion entiendo necesario activar molestan hacer transferencia mala xp,verdad pasa app hice transferencia cuenta bancaria altoke resulta llego dinero tome perdido incluso llego notificacion dinero llego claro ver dentro app verda cosa molesta pagar qr pide active ubicacion entiendo necesario activar molestan hacer transferencia mala xp,verdad pasar app hacer transferencia cuenta bancario altoke resultar llego dinero tomar perdido incluso llego notificacion dinero llego claro ver dentro app verdar cosa molestar pagar pedir active ubicacion entender necesario activar molestar hacer transferencia malo,"['verdad', 'pasar', 'app', 'hacer', 'transferencia', 'cuenta', 'bancario', 'altoke', 'resultar', 'llego', 'dinero', 'tomar', 'perdido', 'incluso', 'llego', 'notificacion', 'dinero', 'llego', 'claro', 'ver', 'dentro', 'app', 'verdar', 'cosa', 'molestar', 'pagar', 'pedir', 'active', 'ubicacion', 'entender', 'necesario', 'activar', 'molestar', 'hacer', 'transferencia', 'malo']"
Muy mal servicio no se puede hacer movimientos transaccionales de fuera del país deberían dar solución a eso,1,1,mal servicio puede hacer movimientos transaccionales país deberían dar solución,mal servicio puede hacer movimientos transaccionales pais deberian dar solucion,mal servicio poder hacer movimiento transaccional pai deberiar dar solucion,"['mal', 'servicio', 'poder', 'hacer', 'movimiento', 'transaccional', 'pai', 'deberiar', 'dar', 'solucion']"
no me deja registrarme,1,0,deja registrarme,deja registrarme,dejar registrar yo,"['dejar', 'registrar', 'yo']"
no me aparece las últimas depósitos como si me roboran,1,1,aparece últimas depósitos si roboran,aparece ultimas depositos si roboran,aparecer ultima deposito roborar,"['aparecer', 'ultima', 'deposito', 'roborar']"
la peor aplicación hago transferencia por QR y me sale que ocurrió un error pero sin embargo hizo la trasferencia,1,1,peor aplicación hago transferencia qr sale ocurrió error embargo hizo trasferencia,peor aplicacion hago transferencia qr sale ocurrio error embargo hizo trasferencia,peor aplicacion hacer transferencia sale ocurrio error embargo hacer trasferencia,"['peor', 'aplicacion', 'hacer', 'transferencia', 'sale', 'ocurrio', 'error', 'embargo', 'hacer', 'trasferencia']"
malisima app llevo 2 días intentando pagar por qr y nomas no quiere deberían de solucionar ese problema en ves de andar con sus publicidades en tiktok,1,5,malisima app llevo días intentando pagar qr nomas quiere deberían solucionar problema ves andar publicidades tiktok,malisima app llevo dias intentando pagar qr nomas quiere deberian solucionar problema ves andar publicidades tiktok,malisimo app llevar dia intentar pagar noma querer deberiar solucionar problema ves andar publicidad tiktok,"['malisimo', 'app', 'llevar', 'dia', 'intentar', 'pagar', 'noma', 'querer', 'deberiar', 'solucionar', 'problema', 'ves', 'andar', 'publicidad', 'tiktok']"
