content,score,thumbsUpCount,comentario_limpio,comentario_limpio_corregido,comentario_lemmatizado
"la app buena, aunque en ciertos periodos tiene Bugs. La linea de atención al cliente malísima. en ninguna de las opciones del charbot te permite reportar un problema con la aplicación y tampoco te dan la opción de ser atendido desde esa instancia por un ser humano.",1,20,app buena aunque ciertos periodos bugs linea atención cliente malísima ninguna opciones charbot permite reportar problema aplicación tampoco dan opción ser atendido instancia ser humano,app buena aunque ciertos periodos bugs linea atencion cliente malisima ninguna opciones charbot permite reportar problema aplicacion tampoco dan opcion ser atendido instancia ser humano,app buen aunque cierto periodo bugs linea atencion cliente malisima ninguno opción charbot permitir reportar problema aplicacion tampoco dar opcion ser atender instancia ser humano
"Muy mamaaaaaa acabo de pasarme por QR y no aparece en la app, si llego la notificación de que le llegue a la app, pero no veo mi saldo, y no estaaaaa, no está mi dinero ahiiiiii",1,0,mamaaaaaa acabo pasarme qr aparece app si llego notificación llegue app veo saldo estaaaaa dinero ahiiiiii,mamaaaaaa acabo pasarme qr aparece app si llego notificacion llegue app veo saldo estaaaaa dinero ahiiiiii,mamaaaaao acabar pasarme qr aparecer app si llego notificacion llegar app ver saldo estaaaaa dinero ahiiiiii
pongan modo oscuro o modo noche la app es muy blanco.,3,0,pongan modo oscuro modo noche app blanco,pongan modo oscuro modo noche app blanco,poner modo oscuro modo noche app blanco
Exelente por ahóra 👍🏼,5,0,exelente ahóra 👍🏼,excelente ahora 👍🏼,excelente ahora 👍 🏼
Muy facil,5,0,facil,facil,facil
"El sistema es lento, cuando verificaba el pago no me salio hasta 1 hora después necesito verificar en el momento para confirmar que no me estafen al cobrar, he vuelto a usarla y llevo 2 horas intentando realizar un traspaso, si pudiera no tendría ninguna estrella",1,10,sistema lento verificaba pago salio hora después necesito verificar momento confirmar estafen cobrar vuelto usarla llevo horas intentando realizar traspaso si pudiera ninguna estrella,sistema lento verificaba pago salio hora despues necesito verificar momento confirmar estafen cobrar vuelto usarla llevo horas intentando realizar traspaso si pudiera ninguna estrella,sistema lento verificar pago salio hora despues necesitar verificar momento confirmar estafen cobrar vuelto usar él llevar hora intentar realizar traspaso si poder ninguno estrella
Muy buena,5,0,buena,buena,buen
"siempre falla , cuando lo necesito urgente se traba , no quiere hacer la transacción",1,0,siempre falla necesito urgente traba quiere hacer transacción,siempre falla necesito urgente traba quiere hacer transaccion,siempre fallar necesitar urgente trar querer hacer transaccion
tarda mucho en poder realizar pagos a través de QR,1,0,tarda poder realizar pagos través qr,tarda poder realizar pagos traves qr,tardar poder realizar pago trav qr
99 that Chiki si 99 that 99 that you esw,1,0,that chiki si that that you esw,that chiki si that that you esw,that chiki si that that you esw
es una mala app es muy lenta y aparte tarda en leer los QR no la recomiendo tuve mala experiencia con esta app,1,0,mala app lenta aparte tarda leer qr recomiendo mala experiencia app,mala app lenta aparte tarda leer qr recomiendo mala experiencia app,malo app lento aparte tardar leer qr recomeir mala experiencia app
según dice la aplicación no quiere acceder debido a que no tengo datos moviles internet cosa que si tengo pero la aplicación no la reconoce. haciendo muy difícil acceder a la aplicación amenos que tenga Wi-fi sin más que decir la aplicación inútil para el uso día a día,1,3,según dice aplicación quiere acceder debido datos moviles internet cosa si aplicación reconoce haciendo difícil acceder aplicación amenos wifi decir aplicación inútil uso día día,segun dice aplicacion quiere acceder debido datos moviles internet cosa si aplicacion reconoce haciendo dificil acceder aplicacion amenos wifi decir aplicacion inutil uso dia dia,segun decir aplicacion querer acceder debido dato movil internet cosa si aplicacion reconocer hacer dificil acceder aplicacion amenos wifi decir aplicacion inutil uso diar dia
sigue funcionando mal no se puede crear cuenta sale error,1,0,sigue funcionando mal puede crear cuenta sale error,sigue funcionando mal puede crear cuenta sale error,seguir funcionar mal poder crear cuenta salir error
no puedo instalar Altoke en mi celular,5,0,puedo instalar altoke celular,puedo instalar altoke celular,poder instalar altoke celular
Es muy buena y fácil de usar,5,0,buena fácil usar,buena facil usar,buen facil usar
pésimo el altoke tuve que pagar dos veces y solo me llega una recarga y lo otro me lo roba q feo eso enserio se pasan espero que lo solucionen eso xfavor es lo único que pedimos q solucionen el altoke y nos den una mejor aplicación aparte q es lento la aplicación no se ni pagar xq se lentea muchooo solucionen la aplicación del altoke xfavor xq nosotros ocupamos está aplicación xq nos recomendaron xq según era mejor altoke xfavor exigimos q lo mejoren el altoke yayayayayayayayayaya xfavor señore,1,3,pésimo altoke pagar dos veces solo llega recarga roba q feo enserio pasan espero solucionen xfavor único pedimos q solucionen altoke den mejor aplicación aparte q lento aplicación pagar xq lentea muchooo solucionen aplicación altoke xfavor xq ocupamos aplicación xq recomendaron xq según mejor altoke xfavor exigimos q mejoren altoke yayayayayayayayayaya xfavor señore,pesimo altoke pagar dos veces solo llega recarga roba q feo enserio pasan espero solucionen xfavor unico pedimos q solucionen altoke den mejor aplicacion aparte q lento aplicacion pagar xq lentea muchooo solucionen aplicacion altoke xfavor xq ocupamos aplicacion xq recomendaron xq segun mejor altoke xfavor exigimos q mejoren altoke yayayayayayayayayaya xfavor senore,pesimo altoke pagar dos vez solo llegar recargo roba q feo enserio pasar espero solucionar xfavor unico pedir q solucionar altoke dar mejor aplicacion aparte q lento aplicacion pagar xq lentear muchooo solucionar aplicacion altoke xfavor xq ocupar aplicacion xq recomendar xq segun mejor altoke xfavor exigimos q mejorar altoke yayayayayayayayayaya xfavor senore
"no me gusta cuando no quiere transferir en varias ocasiones a estas horas de la noche, cualquier cosa puede pasar y para q no se pueda transferir, ... tienen q mejorar en esos temas ...",2,3,gusta quiere transferir varias ocasiones horas noche cualquier cosa puede pasar q pueda transferir q mejorar temas,gusta quiere transferir varias ocasiones horas noche cualquier cosa puede pasar q pueda transferir q mejorar temas,gusta querer transferir varios ocasión hora noche cualquiera cosa poder pasar q poder transferir q mejorar tema
"horrible, ahora mismo llevo 1 hora intentando entrar y a cada rato sale que no se puede entrar por un error y que intente de nuevo osea tengo q intentar entrar desde un día antes para al día siguiente recién entre a la aplicación por culpa de esta aplicación inservible tengo 4 mil bs retenidos sin poder sacarlos",1,13,horrible ahora mismo llevo hora intentando entrar cada rato sale puede entrar error intente nuevo osea q intentar entrar día día siguiente recién aplicación culpa aplicación inservible mil bs retenidos poder sacarlos,horrible ahora mismo llevo hora intentando entrar cada rato sale puede entrar error intente nuevo osea q intentar entrar dia dia siguiente recien aplicacion culpa aplicacion inservible mil bs retenidos poder sacarlos,horrible ahora mismo llevar hora intentar entrar cada rato salir poder entrar error intente nuevo osea q intentar entrar dia dia siguiente recien aplicacion culpa aplicacion inservible mil bs retenido poder sacar él
está muy mal la aplicación 😥,1,0,mal aplicación 😥,mal aplicacion 😥,mal aplicacion 😥
"no informa inicios de sesión de otros dispositivos, la seguridad es pesima",1,0,informa inicios sesión dispositivos seguridad pesima,informa inicios sesion dispositivos seguridad pesima,informar inicio sesion dispositivo seguridad pesimo
Muchos problemas tiene 👎,2,0,problemas 👎,problemas 👎,problema 👎
la verdad no merece ni una estrella yo puse una solo para dar mi opinión. pésima app yo la iba usando apenas una semana y se bloqueó con mi dinero dentro 😡😡😡,1,3,verdad merece estrella puse solo dar opinión pésima app iba usando apenas semana bloqueó dinero dentro 😡😡😡,verdad merece estrella puse solo dar opinion pesima app iba usando apenas semana bloqueo dinero dentro 😡😡😡,verdad merecer estrella puse solo dar opinion pesimo app ir usar apenas semana bloqueo dinero dentro 😡 😡 😡
re lenta,1,0,re lenta,re lenta,re lento
no te especifican que a partir de la 11 de la noche la app se detiene no hace pagos y tuve problemas con un cliente llame al banco y recién me lo mencionan mi dinero descontado fue un perjuicio total de tiempo,1,27,especifican partir noche app detiene hace pagos problemas cliente llame banco recién mencionan dinero descontado perjuicio total tiempo,especifican partir noche app detiene hace pagos problemas cliente llame banco recien mencionan dinero descontado perjuicio total tiempo,especificar partir noche app detener hacer pago problema cliente llame banco recien mencionar dinero descontado perjuicio total tiempo
es buena supongo ojala me vaya bien,5,0,buena supongo ojala vaya bien,buena supongo ojala vaya bien,buen suponer ojala vaya bien
malísima experiencia con respecto a los pagos podría decirse que es la peor aplicación que existe,1,0,malísima experiencia respecto pagos podría decirse peor aplicación existe,malisima experiencia respecto pagos podria decirse peor aplicacion existe,malisimo experiencia respecto pago podrio decir él peor aplicacion existir
Lento,1,0,lento,lento,lento
"pésima app de altoke no tiene nada, tuve que pagar 2 veces por qué tarda mucho al momento de hacer un pago por QR ojalá solucionen, creo que no soy el único que se queja,por el momento no recomiendo a nadie.",1,44,pésima app altoke pagar veces tarda momento hacer pago qr ojalá solucionen creo único quejapor momento recomiendo nadie,pesima app altoke pagar veces tarda momento hacer pago qr ojala solucionen creo unico quejapor momento recomiendo nadie,pesimo app altoke pagar vez tardar momento hacer pago qr ojala solucionar creo unico quejapor momento recomeir nadie
me sale error de red no deja ingresar,1,0,sale error red deja ingresar,sale error red deja ingresar,salir error red dejar ingresar
no reconoce el rostro con esa cosa de reconocimiento facial y no puedo retirar no la recomiendo,1,0,reconoce rostro cosa reconocimiento facial puedo retirar recomiendo,reconoce rostro cosa reconocimiento facial puedo retirar recomiendo,reconocer rostro cosa reconocimiento facial poder retirar recomeir
la aplicación es muy mala no procesa los pagos es muy lenta para pagar tienen que arreglar eso y cuando quiero recargar crédito no llegan y ya me han robado 5bs de crédito y no me devolvieron nunca.,1,8,aplicación mala procesa pagos lenta pagar arreglar quiero recargar crédito llegan robado bs crédito devolvieron nunca,aplicacion mala procesa pagos lenta pagar arreglar quiero recargar credito llegan robado bs credito devolvieron nunca,aplicacion malo procés pago lento pagar arreglar querer recargar credito llegar robado bs credito devolver nunca
La Doble Carga de Entel funciona perfectamente con esta App...,5,1,doble carga entel funciona perfectamente app,doble carga entel funciona perfectamente app,doble carga entel funcionar perfectamente app
"Tengan cuidado. porque cuando cambie de celular no supieron darme solución con la aplicación y ya no podía retirar mi dinero, ni transferir montos a otros por QR. El personal de atención tanto de llamada como los de Banco Sol . No me dieron soluciones",1,1,cuidado cambie celular supieron darme solución aplicación podía retirar dinero transferir montos qr personal atención llamada banco sol dieron soluciones,cuidado cambie celular supieron darme solucion aplicacion podia retirar dinero transferir montos qr personal atencion llamada banco sol dieron soluciones,cuidado cambiar celular saber dar yo solucion aplicacion podiar retirar dinero transferir monto qr personal atencion llamado banco sol dar solución
buenas aplicación pero tiene algunas fallas,4,0,buenas aplicación fallas,buenas aplicacion fallas,buena aplicacion falla
una estrella es mucho para esta aplicación tan bsur@,1,0,estrella aplicación tan bsur,estrella aplicacion tan bsur,estrella aplicacion tanto bsur
muy lento y muchas veces se traba al momento de querer hacer una transacción,1,1,lento muchas veces traba momento querer hacer transacción,lento muchas veces traba momento querer hacer transaccion,lento mucho vez trar momento querer hacer transaccion
Excelente 👌,5,0,excelente 👌,excelente 👌,excelente 👌
muy buena y facil de usar,5,0,buena facil usar,buena facil usar,buen facil usar
"Hello Altoke, y si añades la opción como Yape? mediante Qr hacer recarga ya sea para tiktok porque en mi caso mi tarjeta bancaria no funciona para compras en líneas",3,1,hello altoke si añades opción yape mediante qr hacer recarga tiktok caso tarjeta bancaria funciona compras líneas,hello altoke si anades opcion yape mediante qr hacer recarga tiktok caso tarjeta bancaria funciona compras lineas,hello altoke si anad opcion yape mediante qr hacer recarga tiktok caso tarjeta bancario funcionar compra line
muy mala no me permite retirar nada de dinero y tampoco aser transacion,1,0,mala permite retirar dinero tampoco aser transacion,mala permite retirar dinero tampoco hacer transacion,malo permitir retirar dinero tampoco hacer transacion
JUan villogomez Ramos,5,0,juan villogomez ramos,juan villogomez ramos,juan villogomez ramos
"no se la verdad que pasa con esta App pero yo hice una transferencia de otra cuenta bancaria a mi altoke pero resulta que no llegó el dinero y lo tome como perdido incluso me llegó una notificación de que el dinero me llegó claro pero al ver dentro de la app no hay nada, la verda que otra cosa más me molesta es que al pagar por QR me pide que active ubicacion no entiendo porque es necesario activar y me molestan hacer la transferencia muy Mala XP",1,0,verdad pasa app hice transferencia cuenta bancaria altoke resulta llegó dinero tome perdido incluso llegó notificación dinero llegó claro ver dentro app verda cosa molesta pagar qr pide active ubicacion entiendo necesario activar molestan hacer transferencia mala xp,verdad pasa app hice transferencia cuenta bancaria altoke resulta llego dinero tome perdido incluso llego notificacion dinero llego claro ver dentro app verda cosa molesta pagar qr pide active ubicacion entiendo necesario activar molestan hacer transferencia mala xp,verdad pasar app hacer transferencia cuenta bancario altoke resultar llego dinero tomar perdido incluso llego notificacion dinero llego claro ver dentro app verdar cosa molestar pagar qr pedir active ubicacion entender necesario activar molestar hacer transferencia malo xp
Muy mal servicio no se puede hacer movimientos transaccionales de fuera del país deberían dar solución a eso,1,1,mal servicio puede hacer movimientos transaccionales país deberían dar solución,mal servicio puede hacer movimientos transaccionales pais deberian dar solucion,mal servicio poder hacer movimiento transaccional pai deberiar dar solucion
no me deja registrarme,1,0,deja registrarme,deja registrarme,dejar registrar yo
no me aparece las últimas depósitos como si me roboran,1,1,aparece últimas depósitos si roboran,aparece ultimas depositos si roboran,aparecer ultima deposito si roborar
la peor aplicación hago transferencia por QR y me sale que ocurrió un error pero sin embargo hizo la trasferencia,1,1,peor aplicación hago transferencia qr sale ocurrió error embargo hizo trasferencia,peor aplicacion hago transferencia qr sale ocurrio error embargo hizo trasferencia,peor aplicacion hacer transferencia qr salir ocurrio error embargo hacer trasferencia
malisima app llevo 2 días intentando pagar por qr y nomas no quiere deberían de solucionar ese problema en ves de andar con sus publicidades en tiktok,1,5,malisima app llevo días intentando pagar qr nomas quiere deberían solucionar problema ves andar publicidades tiktok,malisima app llevo dias intentando pagar qr nomas quiere deberian solucionar problema ves andar publicidades tiktok,malisimo app llevar dia intentar pagar qr noma querer deberiar solucionar problema ves andar publicidad tiktok
me gusta la aplicación es bastante fácil de usar pero tuve un problema: quería realizar el pago por QR pero saben que en Bolivia el internet es pésimo por lo cual no me salió la factura por así decirlo donde confirma la transferencia solo me apareció error o algo así por el internet fui a un lugar dónde me llegue señal esta vez sí apareció la confirmación de la transferencia al siguiente día me fijé y se había realizado el pago dos veces y se hace un problema pongan alguna señal de pago o algo,2,12,gusta aplicación bastante fácil usar problema quería realizar pago qr saben bolivia internet pésimo salió factura así decirlo confirma transferencia solo apareció error así internet lugar dónde llegue señal vez apareció confirmación transferencia siguiente día fijé realizado pago dos veces hace problema pongan alguna señal pago,gusta aplicacion bastante facil usar problema queria realizar pago qr saben bolivia internet pesimo salio factura asi decirlo confirma transferencia solo aparecio error asi internet lugar donde llegue senal vez aparecio confirmacion transferencia siguiente dia fije realizado pago dos veces hace problema pongan alguna senal pago,gustar aplicacion bastante facil usar problema querio realizar pago qr saber bolivia internet pesimo salio factura asi decir él confirmar transferencia solo aparecio error asi internet lugar donde llegar senal vez aparecio confirmacion transferencia siguiente dia fije realizado pago dos vez hacer problema poner alguno senal pago
"una porquería, cuando no hay buena conexión hace q debites en varias ocasiones y después te das cuenta",1,1,porquería buena conexión hace q debites varias ocasiones después das cuenta,porqueria buena conexion hace q debites varias ocasiones despues das cuenta,porqueria buen conexion hacer q debit varios ocasión despu da cuenta
"Para pagar por qr tardo demasiado, y pago doble vez , no la recomienda , es con la única banca que me pasó.",2,5,pagar qr tardo demasiado pago doble vez recomienda única banca pasó,pagar qr tardo demasiado pago doble vez recomienda unica banca paso,pagar qr tardo demasiado pago doble vez recomendar unico banco paso
muy útil y rápida para hacer transacciones financieras,5,0,útil rápida hacer transacciones financieras,util rapida hacer transacciones financieras,util rapido hacer transacción financiero
no deja entrar la aplicación,1,0,deja entrar aplicación,deja entrar aplicacion,dejar entrar aplicacion
muy buena app m tiene informado con muchos detalles sobre quienes m envían el dinero,5,0,buena app m informado detalles m envían dinero,buena app m informado detalles m envian dinero,buen app m informado detalle m enviar dinero
me parece muy buena la aplicación pero estuve viendo que no se cierra automáticamente sigue funcionando en segundo plano después de dos o tres bloqueos sigue ahí sin pedir contraseña de nuevo no debería ser así debería tener más medidas de seguridad debería serrar automático cuando ya no se usa pero este sigue abierto espero solucionen eso,3,7,parece buena aplicación viendo cierra automáticamente sigue funcionando segundo plano después dos tres bloqueos sigue ahí pedir contraseña nuevo debería ser así debería tener medidas seguridad debería serrar automático usa sigue abierto espero solucionen,parece buena aplicacion viendo cierra automaticamente sigue funcionando segundo plano despues dos tres bloqueos sigue ahi pedir contrasena nuevo deberia ser asi deberia tener medidas seguridad deberia serrar automatico usa sigue abierto espero solucionen,parecer buen aplicacion ver cerrar automaticamente seguir funcionar segundo plano despues dos tres bloqueo seguir ahi pedir contrasena nuevo deberio ser asi deberio tener medida seguridad deberio serrar automatico usa seguir abierto espero solucionar
en la descripción dice para todo público pero no me deja abrir o crear una cuenta por qué sera,1,0,descripción dice público deja abrir crear cuenta sera,descripcion dice publico deja abrir crear cuenta sera,descripcion decir publico dejar abrir crear cuenta sero
Tardq,5,0,tardq,tardq,tardq
full de bueno,5,0,full bueno,full bueno,full bueno
"muy buena , me salvo con muchas transacciones",5,1,buena salvo muchas transacciones,buena salvo muchas transacciones,buen salvo mucho transacción
"pésima aplicación tarda mucho al momento de realizar una transacción o un pago, por culpa de su fallo pague 2 veces por qué no le llegaba a la otra persona es muy peligroso al momento de pagar o recibir pagos fatal!!! 😡😡😡",1,36,pésima aplicación tarda momento realizar transacción pago culpa fallo pague veces llegaba persona peligroso momento pagar recibir pagos fatal 😡😡😡,pesima aplicacion tarda momento realizar transaccion pago culpa fallo pague veces llegaba persona peligroso momento pagar recibir pagos fatal 😡😡😡,pesimar aplicacion tardar momento realizar transaccion pago culpa fallo pagar vez llegar persona peligroso momento pagar recibir pago fatal 😡 😡 😡
"BASURA se supone que es una app para estar más cómodo apenas salgo de Bolivia no puedo transferir a mis conocidos que viven en Bolivia misma tengo que estar obligado en Bolivia para usar. yape si me deja, si es cómodo",1,1,basura supone app cómodo apenas salgo bolivia puedo transferir conocidos viven bolivia misma obligado bolivia usar yape si deja si cómodo,basura supone app comodo apenas salgo bolivia puedo transferir conocidos viven bolivia misma obligado bolivia usar yape si deja si comodo,basura suponer app comodo apenas salgo bolivia poder transferir conocido vivir bolivia mismo obligado bolivia usar yape si dejar si comodo
****** miserables que van a hacer los bosques con cochino 1 bs,1,0,miserables van hacer bosques cochino bs,miserables van hacer bosques cochino bs,miserable ir hacer bosques cochino bs
bellesa,5,0,bellesa,bellesa,bellesa
Es muy buena la aplicación pero no Ise activar mi GPS para mandar plata fuera de bolivia,3,0,buena aplicación ise activar gps mandar plata bolivia,buena aplicacion ise activar gps mandar plata bolivia,buen aplicacion ise activar gps mandar plata bolivio
Genial,5,0,genial,genial,genial
la peor aplicación se traba todo el tiempo me dejó plantado muchas veces sin saber que hacer por confiar en esta aplicación barata NO LA DESCARGUEN si no quieren pasar momentos malos,1,4,peor aplicación traba tiempo dejó plantado muchas veces saber hacer confiar aplicación barata descarguen si quieren pasar momentos malos,peor aplicacion traba tiempo dejo plantado muchas veces saber hacer confiar aplicacion barata descarguen si quieren pasar momentos malos,peor aplicacion trar tiempo dejar plantado mucho vez saber hacer confiar aplicacion barata descarguir si querer pasar momento malo
no me genera el codigo para retiro en cajero de banco sol,1,0,genera codigo retiro cajero banco sol,genera codigo retiro cajero banco sol,generar codigo retiro cajero banco sol
no quiere dar Mi altoke y no me dan solución,1,1,quiere dar altoke dan solución,quiere dar altoke dan solucion,querer dar altoke dar solucion
es aconsejable,5,0,aconsejable,aconsejable,aconsejable
que es eso de modo consulta? déjenme usar mi dinero por favor?,1,0,modo consulta déjenme usar dinero favor,modo consulta dejenme usar dinero favor,modo consulta dejenmir usar dinero favor
muy mala la app tarda en realizar los pagos 😕,1,0,mala app tarda realizar pagos 😕,mala app tarda realizar pagos 😕,malo app tardar realizar pago 😕
es muy bueno,5,0,bueno,bueno,bueno
quiero registrarme y me dice que soy menor de edad.,1,0,quiero registrarme dice menor edad,quiero registrarme dice menor edad,querer registrar yo decir menor edad
excelente app,5,0,excelente app,excelente app,excelente app
super,5,0,super,super,super
está ap dice gana 5 por invitar a otro a descargar pero nunca llegó los 5bs ni 2 bs estafa falso no cumple lo q dice,2,0,ap dice gana invitar descargar nunca llegó bs bs estafa falso cumple q dice,ap dice gana invitar descargar nunca llego bs bs estafa falso cumple q dice,ap decir ganar invitar descargar nunca llego b bs estafa falso cumplir q decir
Excelente servicio,5,0,excelente servicio,excelente servicio,excelente servicio
un asco la app de altoke deberían despedir a su director informático con la última actualización es muy vulnerable ya parece LA BASURA PERUANA DE YAPE sus operadores nunca están disponibles.,1,0,asco app altoke deberían despedir director informático última actualización vulnerable parece basura peruana yape operadores nunca disponibles,asco app altoke deberian despedir director informatico ultima actualizacion vulnerable parece basura peruana yape operadores nunca disponibles,asco app altoke deberiar despedir director informatico ultimo actualizacion vulnerable parecer basura peruano yape operador nunca disponible
está. muy mal,5,0,mal,mal,mal
esta app funciona pésimo,1,0,app funciona pésimo,app funciona pesimo,app funcionar pesimo
"“Excelente app si quieres probar tu tolerancia a la frustración, entrenar para ir al psicólogo y perder 30 min de tu vida por cada transferencia. 10/10, peor que mi ex👍🏼.”",1,4,“excelente app si quieres probar tolerancia frustración entrenar ir psicólogo perder min vida cada transferencia peor ex👍🏼”,“excelente app si quieres probar tolerancia frustracion entrenar ir psicologo perder min vida cada transferencia peor ex👍🏼”,“ excelente app si querer probar tolerancia frustracion entrenar ir psicologo perder min vida cada transferencia peor ex 👍 🏼 ”
"Pésima aplicación, lenta se lagea y no es nada confiable, te deja en apuros cuándo más se necesita. Noo recomiendo a nadie.",1,4,pésima aplicación lenta lagea confiable deja apuros cuándo necesita noo recomiendo nadie,pesima aplicacion lenta lagea confiable deja apuros cuando necesita noo recomiendo nadie,pesimar aplicacion lento lagea confiable dejar apuro cuando necesitar noo recomeir nadie
pésima esta aplicación... ya no puedo hacer mis transferencias... para mi es una mala aplicación..,1,1,pésima aplicación puedo hacer transferencias mala aplicación,pesima aplicacion puedo hacer transferencias mala aplicacion,pesimar aplicacion poder hacer transferencia malo aplicacion
"casi siempre se traba, llega la notificación de la transacción pero en tu cuenta digital no está el monto transferido.",1,1,casi siempre traba llega notificación transacción cuenta digital monto transferido,casi siempre traba llega notificacion transaccion cuenta digital monto transferido,casi siempre trar llegar notificacion transaccion contar digital monto transferido
muy mala me robo dinero no mas,1,0,mala robo dinero mas,mala robo dinero mas,malo robo dinero mas
